,ID,Popularity,Duration
"Suraj Hua Maddham (From ""Kabhi Khushi Kabhie Gham"")",2bTOQ3zfHVDEBX9ffy3JzR,47.0,427546.0
"Haareya (From ""Meri Pyaari Bindu "")",678JJ0TF3KFkzw6bIFKcew,55.0,214735.0
Jitni Dafa,5ajfRrXpInejkZUxZOX6Rm,61.0,222302.0
Welcome to My Hood,1T5mAjBkpuczG5H6yUcSB4,48.0,240000.0
Zinda Rehti Hain Unki Mohabbatein,3HYF4u13huHTkHQnBgit3N,50.0,143360.0
"Tum Aa Gaye Ho Noor Aa Gaya (From ""Aandhi"")",46vtbOdgiQHYQgBRwn1sYr,36.0,252360.0
Tere Mast Mast Do Nain,2WnpXcXoX1vYvERYG3eKlT,52.0,357982.0
Do Dhaari Talwaar,6RZwj2PZDqM6g7gmO6bOxw,50.0,300826.0
Malare,4Hvf9xIeJWp5p9FkJerQhN,54.0,316551.0
Neend Churayee Meri,2oVJZVH1hlxP3MxyDFRSEb,53.0,346720.0
Tujhe Kitna Chahein Aur (Film Version),0mHU8dcIvGrGDazLMmQpSg,57.0,276244.0
"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)",0MAL4lkJiJgCwGdO0Q264f,46.0,212115.0
Moh Moh Ke Dhaage (Male),189DQylImZ1hGZaIpAQUzx,53.0,322899.0
"Chaand Taare (From ""Yes Boss"")",5Cdd8p9sxRczQX6GFC8CdH,53.0,289373.0
5 Taara,4OFiDV3YIUVwMUNsXRnqeV,38.0,178421.0
"Hasina Pagal Deewani (From ""Indoo Ki Jawani"")",5DXdMe87gdsoN4MSqWRcnt,44.0,188824.0
Meri Mehbooba,3CVsfCGtVJGLH9UQMKmBMC,53.0,415906.0
Anbe En Anbe,2PPYZHvvu02e1pSdE1FfvD,61.0,304400.0
Baazigar O Baazigar,56h75LnnsaBy4T8N8MSNgF,54.0,459266.0
Patiala Peg,6TikcWOLRsPq66GBx2jk67,40.0,188314.0
Laal Dupatta,2zGaY3iWYTHjgpSLC0wqdx,50.0,314413.0
Yeh Ladka Hai Deewana,41Vl2OoM83VVe0eePpsgUf,49.0,397533.0
"Sanam Teri Kasam (From ""Sanam Teri Kasam"")",44Gp4GIRWoxFnuHlMyhhiJ,42.0,314000.0
Jab Mila Tu,6Sp7azay1NZU4wxlFacWCl,49.0,251853.0
Satakli,4n1j59aiRDYCU1Rpz70wKU,43.0,222352.0
Moti Veraana (From Songs of Faith),6qhTVtHIsK8WVf7biagk7O,52.0,256399.0
Sawan Aaya Hai,2znIV62IxtbY9gSEPdIAho,52.0,288176.0
"Dekha Ek Khwab (From ""Silsila"")",6eu75OSNNFbQncfV3jbJ3a,38.0,320733.0
"Sanu Ek Pal Chain (From ""Raid"")",4wANB882g1ZhF2V8ugksY1,53.0,210345.0
"Main Jahaan Rahoon (From ""Namastey London"")",26q5bMeoH7C2K3Xye5QKnH,39.0,382493.0
Anarkali Disco Chali,0YKEBiwNh4VGsuf99aNfLa,50.0,293954.0
"Swag Se Swagat (From ""Tiger Zinda Hai"")",7n9DQWVkGWIzDvrM0kjvZa,44.0,235944.0
Bekhayali (Arijit Singh Version),47Il9B5GJ2FEkiwiIH3xX0,55.0,370444.0
"Saat Samundar Paar, Pt. 1",1IgaGBX8ZvqBBwYMJgDg4E,38.0,397200.0
"Mehndi Laga Ke Rakhna (From ""Dilwale Dulhania Le Jayenge"")",6fAd7h8Jt3Hsf764rn7kEV,40.0,286694.0
Allah Duhai Hai,2TktNdu8PMfhApbWHDFSgZ,48.0,255239.0
"Selfie Pulla (From ""Kaththi"")",0NlKDGqNJ1is6V8eLBhj7S,42.0,291002.0
Yaar Naa Miley,56lHtVpvNxFSKewJKpeYc3,51.0,243206.0
"Kaho Naa Pyar Hai, Pt. 1",1kNRT6BC7rbZmwlozMk86v,43.0,423666.0
"Goom Hai Kisi Ke Pyar Mein (From ""Raampur Ka Lakshman"")",1dTjGJjcFBbB2HegJk61mB,37.0,254933.0
Bol Kaffara Kya Hoga - Dj Chetas,7r7PJJSvVPCAQK4h0vc7xT,53.0,207073.0
Dil Cheez Tujhe Dedi,4KfIDhVW9WUwUEouFcf6YN,51.0,271330.0
"Thuli Thuli (From ""Paiya"")",3YfG9ch4qcYbDhwVtDuzQm,59.0,283346.0
"Shaamat (From ""Ek Villain Returns"")",455lcFHS2MOMKcGquhAf22,58.0,334173.0
High Heels Te Nachche,1bAa1OyefOhXdqnL8dlxFt,51.0,212115.0
Bulleya,3tgdOveYac7YMEAQD9sGLf,58.0,357067.0
Likhe Jo Khat Tujhe X Jad Mukhda Vekhyaa (LoFi Mashup),75lWrLZjErFOjer3n9eije,3.0,122110.0
Das Meriya Dilwarave (Trap Mix),3K74N5eoIZlC4EdkflvIyd,1.0,147600.0
Aaftaab,4LtSTc3xANVhYeeN69nscM,54.0,233471.0
Jahaan Tu Chala,3Frn3MJRQFvjCIbTbBUZCS,49.0,140305.0
Haare Haare Hum To Dil Se Haare - Unplugged Version,1PMyULgDs4FZNhFi7MPw8n,61.0,157648.0
Tum Itna Jo Muskura Rahe Ho,4SVLJYv9gJQgFhtJdW3TEX,38.0,321311.0
Aaj Se Teri,4ws4fIFJDtQAjNQ53KYVl2,52.0,312240.0
Baarish,6ABHr8kYCws5z6gC9Lwith,61.0,374938.0
Jatt Ludhiyane Da,1fL14sJ7Dv1RTMYEnPx9Iw,48.0,189878.0
"Guzarish (From ""Ghajini"")",0kWWPtEWjmQVEu4V0esXJ8,52.0,327029.0
"Aap Ki Ankhon Mein Kuch (From ""Ghar"")",0DIGEuLzTRIF9jtmKQlPW4,37.0,249173.0
Chura Ke Dil Mera,4P4NsWdqLziZpEteU1uFCI,58.0,474653.0
Bheemla Back On Duty,0pJwJJVXazQanbOouX7rN6,45.0,242478.0
Chura Liya Hai Tumne Jo Dil Ko X Tu Ping Te Mai Parchawan (LoFi Mashup),1NS2tzAJ0tbIDGEYr9vZho,16.0,118625.0
Bheemla Nayak Title Song,6BiLK0zV9MULmHcM7G7L2W,47.0,310000.0
"Roop Tera Mastana (From ""Aradhana"")",1kh7hWJScFHofkGFuLwW84,37.0,225213.0
"Raat Bhar (From ""Heropanti"")",6s36KDFgCWW4lqDJ0njm7p,50.0,325581.0
Rimjhim Gire Sawan - Duet,4Twn7Z9eg4tmhFzLlmZsSE,37.0,216373.0
Mera Yaar,2NECp5Tvb5Lm6TbJf0Y8xI,62.0,351293.0
"Phir Mohabbat (From ""Murder 2"")",4RCd3Gdtt3dNedof64hqRD,59.0,329851.0
Meri Aashiqui,3E9ryvrKP3hUWX79PAakH2,56.0,266069.0
Feel My Love,4EjO3ELtQkbOBox5adad6a,53.0,299893.0
Zindagi Kuch Toh Bata (Reprise),6TGX01ExmdHyOG72fqUU3Q,59.0,258877.0
Aa Re Pritam Pyaare,3CXHPRFNic9WOsazT4huOJ,54.0,259973.0
Nuvvante Na Navvu,79usXWn1SIf3SUxbtq3ZKm,51.0,274307.0
"Aashiq Banaya Aapne (From ""Hate Story Iv"")",7kfGvOOykB24QxFKZq5LUV,49.0,222675.0
Keh Do,2uFzPspidxUDnoOVSdVcYc,47.0,222905.0
"Thooriga - From ""Navarasa""",19O4hCGGm95UhvIyhwnNT5,58.0,202135.0
Socha Hai,7IjnfuMNfdrAXbefurdIIR,48.0,246131.0
Tip Tip Barsa Paani - Hip Hop Remix,6O2UGqSFl9KWMbBrHho8os,55.0,253520.0
"Kitni Haseen Hogi (From ""Hit - The First Case"")",6h6kOAlIeWdsqNopumppU5,59.0,330906.0
"Tum Ko Dekha To Yeh Khayal Aaya (From ""Saath Saath"")",6OBnmsS9w6mdYmEgxwc2BG,39.0,291066.0
"Padi Padi Leche (From ""Padi Padi Leche Manasu"")",1LzrEBELUtfgvc8pKhL3Ct,49.0,203777.0
Ava Enna,1wIfq9Zul77qAtokyLTlXr,64.0,318493.0
Jagga Jiteya,2kLFzLJgHtreNbNlbVzQy4,56.0,191489.0
Sauda Khara Khara,1v8H06ctqfMX8IUxU9nCaI,44.0,211034.0
Banjaara,4eFnk661RcdOuH9ajiTO3j,60.0,336567.0
Madhubala,3hcwpXiJtR7kwDrWllcH0v,54.0,243333.0
"Badri Ki Dulhania (Title Track) [From ""Badrinath Ki Dulhania""]",3MXUEYNS6LNxb61415AdE3,44.0,206858.0
Dil Meri Na Sune,4ILc7H2NfGbzbrHBclNOtB,61.0,236000.0
Thendral Vanthu Theendumbothu,69Q2LXoskGHY5NVyrHyMlh,42.0,318014.0
Tu Mile Dil Khile,0OBFJ2klMAcaw5DbEmfwOq,41.0,197716.0
Naino Ne Baandhi,1rinwuHEJlACLuDxihAlCu,61.0,241894.0
Voh Dekhnay Mein,0EMYTe2oQy70PCKPQFlbVy,55.0,272453.0
Teri Meri Kahaani,14eFqoEf1NBm7kh2jWc3TU,57.0,331443.0
Vaarayo Vaarayo,13wIQbwSuQ4YFvDvtQgSVc,62.0,316680.0
Suno Na Suno Na,5dS7HcRa9kER2qDba2iSOd,54.0,321226.0
Luna,1Hy2ZRkFGC3P47r6lDX2sy,51.0,186000.0
"Yaar Naa Miley (From ""Kick"")",0qzuXwxORXTwSsBU2aJGj5,51.0,243206.0
Ayyayo,5DYfTyqUNBmOnQtljQjYk2,63.0,324373.0
"Hui Malang (From ""Malang - Unleash The Madness"")",5bAed2aRbQbjDZF9qkNSA2,47.0,192096.0
Maahi,4bIQXffbALkCC0Xo6aTicP,59.0,329106.0
Tere Bin,4Y1Sd0fSSxHEMrWkd2x3EW,58.0,230948.0
"Chahun Main Ya Naa (From ""Aashiqui 2"")",7Imk0IG6S5GA5iYWkjmMW5,56.0,304899.0
Toh Zinda Ho Tum,3fBi5KGDNeYomxbttVOUQT,49.0,84613.0
