,ID,Popularity,Duration
Paris,6UTDgh5ezazezpAe4HmAos,41.0,236653.0
Break The Man,5NFoLXGzAzm3aFZEEaZ98c,43.0,235613.0
"Don't You (Forget About Me) - 12"" Version",7lrVEKB5tZdDciy1PZaf4z,48.0,396466.0
The Safety Dance - Sped Up Version,5GBPvt7GfzmEh1dd7wpNxp,14.0,147260.0
The Globe,26UgQ719aQ39QAHytxPuVJ,37.0,364640.0
Lay Lady Lay,5tk8Vf4TunD7YpTeEEkXui,45.0,232800.0
Tears Run Rings,7jEQ43V8AA7UQ6NcG4x1ki,48.0,261687.0
Shattered Dreams,03Y9Gez0KGG8zYY3KWIqdk,44.0,209960.0
You Spin Me Round (Like a Record),5RXrCgoku7rnTX6cbGuT3E,31.0,196066.0
Submarine,0QSlgbKl5MZW7AbjTbj8jw,42.0,285574.0
A Sea of Stars (Miami Nights 1984 Remix),68GKHn1VXyM8RHG1rm4Ov1,36.0,211200.0
International Dateline,4wIxRWUCuly34w7pyQhXRg,36.0,257099.0
Innocence,7eVgS0wHZSRjNHObWO6vNg,39.0,234120.0
Don't You Forget About Me,4K21nchEz8gMXTuW5vAd1c,50.0,259581.0
Pictures Of You,7dN61DiNJ1QBOClK4salPX,34.0,243840.0
Crying in Public,2yXfkGdRTSPgSFJfOGsLhk,36.0,268986.0
Wouldn't It Be Good - Re-Recorded,34yZYzGEslpYGKU3VlGRDn,38.0,290591.0
My Name Is Ruin,2KPewERHYuJsAZAMmuJTKB,39.0,377611.0
Hold Back the Rain - 2009 Remaster,25fQaP5GWQXhqHeLkcdPzO,38.0,240520.0
Goodbye,6LoQkCFWTaYHyz2ii3MlYv,36.0,243125.0
Lovely Head,2YxXBLWd39JelHf6LhxZ2o,45.0,229826.0
Little Man (Tycho Remix) - Mixed,2Nj6FdLGoD8vCxM2w8eHWB,40.0,169691.0
Too Shy - 2004 Remaster,3OQtbwQ9U4A0VDH1rjamZJ,39.0,225853.0
Petals,3G7hlx1gFFE7oNnTbqb2fy,40.0,115053.0
Phone Call,12HcWfszOZZBZRusrhtHKs,34.0,205914.0
Love In Stereo,1EuOJLjHYZCEPcGJqAC3wZ,32.0,197333.0
Do It Roger,6yn6HbYIXzC9In3YDSYT77,34.0,317466.0
Walk Like an Egyptian,1gb5sUe1CuRBuT8twq8uhw,42.0,192813.0
If You Were Here,654lELZqLqtqudKZDUveYK,33.0,176826.0
Silvia,2Cq2BrkoxqMvP3hcJHWNga,33.0,385666.0
Don't Want to Change Your Mind,7ucGNqzzbSh6wEpfOxTyaZ,36.0,267625.0
Memories Fade,4sYvvnzal0yQJ8qGEJeR3M,37.0,303866.0
Send Me An Angel '89,5lMRS9GFQYfxhflty2E1ad,39.0,232586.0
Just Around the Corner,0WujVnyLeCEOoPpdV2wOj6,53.0,256266.0
6669 (I Don't Know If You Know),2cynrAawi0yKRzdJh9qIU7,35.0,200893.0
Its A Miracle - Remastered 2012,0vmbJCS1WCWnj9232fyMrv,45.0,205360.0
Animal,1uxdxSC2bfUFYVqxvejVC3,33.0,263426.0
Heaven/Hell,4kiratnar5F3BxnNIXgRtD,33.0,305945.0
Virus,2auyE53lrWpCM47XXky6X0,36.0,275613.0
Pick Up The Phone - Arithmatix Remix,3HXGJ8bJV9tjUzsqmUHUjj,32.0,318164.0
No More Heroes - 1996 Remaster,3A6Ty55vQ1NC06EiB1fi9z,49.0,207440.0
Heard Somebody Cry,2cHSvidHOVGA2zgqgvlgkH,34.0,279933.0
The Edge of Forever,0ZljhJQbm611zf5ttHz43n,35.0,263840.0
Bikini Porn,4Nnx7d1MHiNi367p0BJsUv,39.0,162935.0
Adolescent Sex,0IlsQYGSobFtgrW3JZbKJX,41.0,223760.0
Leave a Trace - Goldroom Remix,5h9bN9km7HcK1F43ZOg1Iq,34.0,299062.0
High Enough to Carry You Over,7cDaELJphg4Wq6opg6nrrM,33.0,219049.0
Bad as the Boys (feat. ALMA),1CGQTaQVVfA0CNae8IwPyC,39.0,186555.0
Oh l'amour,5ugSh2p5noxQzSW2yy1qJt,32.0,216480.0
Messages,2kU8ICAZt1rydv0IrZXMHF,36.0,173333.0
Lies,12PRWlfzZArKCWO4irTpwY,34.0,221053.0
Nightmares,2KL9DDTKe7icwdF88CgtF7,33.0,273830.0
Press Play,4GW9RW2X4VDk9GVLvdmabc,31.0,239813.0
Amanaemonesia,4EI01jKoCYK0tZqgAL2RpO,38.0,301026.0
Pandora's Box,4NsNi4w10Tkpv6uikyXbJ6,51.0,249173.0
No Words,0SJJzVpvRaeKNFBj1Hguky,38.0,266600.0
Everything,24hghyOlo1dTQ9sv2wufpk,36.0,260000.0
You Don't Own Me,6dJCQC6ZRwsIrbvrsuszBP,44.0,181066.0
You'll See It,4MTVOQ8SMdYEgBUkwJv07F,34.0,173746.0
Roi,28zSA1yhGkpqT6SX5GROKn,47.0,225253.0
Juliette,3Qaq3lUUawG3MEWvRcNBcx,39.0,251329.0
Save a Prayer - Single Version,5zNf8MI40Us66R3zutaxvt,53.0,225840.0
Habits (Stay High) - The Chainsmokers Extended Mix,7lxKUx67JrEoxjayHCb0Xr,39.0,294253.0
The Wave,1si9wrLogkenNU1c1EyIUo,35.0,223493.0
Over It,7yLS3sYpFKIUsVFXxu8uuK,41.0,224801.0
Baby's Eyes,6A77hHt5ZlRNkvQr7kCTxX,33.0,386058.0
"bitches (feat. Charli XCX, Icona Pop, Elliphant, ALMA)",0S0rlh59DhpPheILyXYX76,40.0,191795.0
Is There Something I Should Know?,3X4T0KunohTtDaecqBZ8vC,41.0,249666.0
Tether,13o5KG0ciccnekyoK9rhav,33.0,286400.0
LOVE - triple j Like A Version,3m2j4C0IRQTvk2pL0fZACy,39.0,232024.0
Nasty Habits,69PyfPuIV1fjJtF7R5nZOM,35.0,247893.0
Never You Done That,1TAAAbxtkJuq8SK4HyQdtJ,32.0,250666.0
Marble House,5iwxuNxMzFXFVVsxWz7gQI,32.0,318960.0
Head Over Heels,3rjONa9b7zc16b8nmXAuCG,43.0,217440.0
The Village - 2015 Remaster,5fbR5XxBRLGMue3QKtDgF3,39.0,277120.0
"See Me Here, See Me Now",6E0bQkaVxXuZou5tko9n5c,36.0,286270.0
Nouveau chapitre,1eh4AulzkhsK1MXPd4Hdhi,39.0,202373.0
Not My Slave,3LbrkiQ3xkocEwldJ9Jzed,39.0,282960.0
Water - FKJ Remix,4g1aIPqIAqcB6ZgU0F2ylv,39.0,199102.0
Midnight Legend,7wnRHeYAAd0KqkFe3ZQHcI,37.0,204873.0
I've Been In Love Before - Edit Version / 1987,6Qi5j2hRNw0pBFfV0cm7gI,45.0,238893.0
Lady Wood,5cB9BlseQteklXaJjRtZti,40.0,216659.0
I Love It (feat. Charli XCX) - Tiësto Remix,7vFpssS3kATxZOuWGCrJAt,42.0,239680.0
Number One,19w0peKzUE7Ih1E0FGdaXO,38.0,248000.0
Coming Up Close,6ZCkhQPdBtUzZPkkO1o9cx,34.0,280000.0
