,ID,Popularity,Duration
真情流露,7H4ZJ3vJVsGFaPbNMVUXGa,35.0,314146.0
打錯了,6E37CC0xg0uTD7yE5yoDaT,31.0,192000.0
妳還怕大雨嗎 - 國語,2dFeKAGD3TBcFB9TAjnlfN,32.0,254248.0
It’s OK To Be Sad,0up477QX11ffSLneXa0xHA,40.0,239478.0
我的最愛,0pJjPycRL7vrW7CIU31nsD,34.0,217506.0
石徑,3yUsuJrixeXnCnR7ulQ36N,36.0,282693.0
雨中的戀人們,5ZZUeqoDrKOZs0YAsFF7pR,32.0,258133.0
好朋友,2wptRMzu9TCFcyRkfI0qIF,34.0,195400.0
四人遊,5gkZUgKtvnQtkdYEO9WKzD,32.0,228293.0
有天,42BC2XzVgA7uUv0dT6a2Op,43.0,265915.0
天長地久,1nxJbK8FsX4EtYJh5BKJkv,32.0,208000.0
世界真細小 - 合唱版,22BCost3QjGus7CmgyX4Sp,33.0,237796.0
地平線,3ltoPEEC9jFfMfMfmHqO9C,34.0,209186.0
告白,2ykbmlRo5WahEzGbLgvPbr,37.0,261346.0
"從未知道你最好 - (劇集 ""城寨英雄"" 片尾曲)",44OSnRjkxmkB6TAyoJI8GU,34.0,254475.0
時光倒流一句話,63QmxPL3QlchvXcHLsI6UM,42.0,253818.0
愛情,4AHxRwJqz8r9prU79zuPYt,36.0,285906.0
暗湧,0glIss3a2s8W4uv76wbPMo,28.0,259306.0
如果你是我的傳說,5Ghontzq5M8uFclFSw6Y0r,24.0,283586.0
閉目入神,6iGoTgvD2zJssGEhcY13ZB,38.0,216000.0
自欺欺人 - 中原電器廣告歌,46O0u9WmDQgzStxYLfLSBd,34.0,205032.0
我該放手,256oWNIz3OpXNWraQdWXdK,41.0,284939.0
多喝水,1W7uQESfg4yq6dSJg4tvG3,39.0,253668.0
其實你心裡有沒有我,4o2NFUl2x6ipdPNNrnZWED,34.0,241586.0
一起走過的日子 - 電影《至尊無上II之永霸天下》歌曲,2D1fp00miwS8jRvUpvj06Q,33.0,232426.0
我和我追逐的夢,6kQGUWCnmAOz6l3nTHvLcR,40.0,305160.0
一人之境,16VtXtccn3rmUAR9Q4W5ME,41.0,196954.0
寵物,2b8t4v5VrZPHnVmQGTL6O1,38.0,274366.0
一生幸福,3ferL42BZUc7evprpSSBwW,37.0,188320.0
你最紅,258rzvqYIdoukZjRmgY1Ra,35.0,214720.0
倩女幽魂 - 電影《倩女幽魂》主題曲,3FgP230xDLfk2AInU1rOM4,32.0,218200.0
沒有人,6ypGcltSSEIQ6r9e5nkzg2,37.0,227493.0
守望麥田 - 百年孤寂 廣東版,6TVI643HVV2TaG9odBWiwV,36.0,318640.0
莫斯科沒有眼淚,2YdEnV8am1dwhoOTfa9APB,32.0,211394.0
再見二丁目,02ZTLRT946NDyhXdupoazK,30.0,237226.0
我不想別離 - 劇集 “陀槍師姐2021” 主題曲,2ku0YBRddw3tTgvnwL4HZr,35.0,223717.0
彎彎的月亮,6Avds7BN1wBr4MH8o7pPv9,34.0,259506.0
I Want...,0a6sKqqMtPBvQga4KM6Xf5,36.0,261176.0
再見亦是淚!?,1ZaUzVTMcuYaDcgk89RXvK,31.0,266946.0
怎麼捨得你,4gLkzYJTEa19ubFEaB5wxy,35.0,259173.0
鋼鐵是怎樣煉成的,3BMu1nILItX08rd1PnR5aj,35.0,303360.0
初戀情人,6uvOtENbWTPaNc46o8M4Pv,30.0,280333.0
SABINA之淚,0bVAhqMaAOEqF9ZmpBXdII,33.0,140892.0
黃色大門,2WkZMfC3eTYciJrhXD7vQb,32.0,226133.0
