,ID,Popularity,Duration
Guess,51t119U9qFdDHorI8GpNPb,57.0,193173.0
Model Buses,0KTF2BkNTGbBAlCbIPvAKl,59.0,170092.0
Queen,7zFXDAZ2V52022GPNYOxyH,57.0,146386.0
supermarket,11cufrIGJ6pbcVqJ205Eqe,59.0,145333.0
The Lows,2lSSMnTLKtGUhWHmJJNfrX,29.0,170160.0
Everytime,4zvHZWOGyL7WcmqHOgtGCW,61.0,172941.0
Black Porsche,1f7lnpdgGs2RfYnv3vCQbj,29.0,186346.0
Why Do You Talk To Me?,1RwrC2eLbBuMtOTfI88udJ,30.0,173573.0
Please Never Fall in Love Again,42H6GeQfrBkT3vTUTdpB1M,59.0,154000.0
Dance with Me,2sBKLT7bFa38yVAYxYltUX,60.0,234282.0
One More Weekend,19YOJKCVvOL7v6B2Oe3UBc,56.0,142829.0
Birch Tree,2isf9DCebk6mUhGagcD5bf,58.0,280603.0
wonder if she loves me,5cceQYu8V7ZdFkMvdH6qPK,59.0,160676.0
Love Me More,4PUT0cH2iggaje5hTJZeGe,59.0,212660.0
Silhouettes,5zYduVIUSgSWmv56IwBmRl,56.0,177773.0
Davy Crochet,1w9B61OdLdnjzZIUYmy0bd,55.0,176617.0
Murders,0AFydkgl5Creero3gNjqvF,58.0,222985.0
I Will,2yYP6zjOBqGKqI6s2lZyer,59.0,174760.0
All That You Need,0N2kMpbMwBpMsnr1QXaB0F,34.0,174386.0
June,4C0P5aJsVTkqXgVeAl83Iy,55.0,284226.0
fall into u,6d2R5kZDIYs82XdxBNCiCN,57.0,212000.0
Knee Deep at ATP,18g9sFXzAcXTPrcmDXSk9z,59.0,188418.0
Photo ID (with Dominic Fike),1F35Dmog9pekyCVnH1eQpl,58.0,209970.0
No Face,0uLlFekr8nKMj960xHKPYx,59.0,116483.0
Hair Down (feat. Kendrick Lamar),4sFzG7iUlyPmuyASCkre9A,60.0,216933.0
Beige (unburdened),5t3Uyzbw2XISfoks8ujnIC,59.0,196493.0
down bad,0vjpfpch27QUf1cUs4seDl,58.0,191640.0
days go bye,3wcds7r4xA9klfbPr81gK7,56.0,165000.0
Gold,6ZSO7kPn8IMJFymyticbJO,59.0,225882.0
rodman,0jufehOY40rRdvB2t4dsot,56.0,228702.0
Caroline,3S5mohVxC0Xuj0tgZ7vU7g,55.0,205049.0
commas,3CV5fTPdh7g5XOwjeXGmDJ,58.0,140869.0
Blood And Butter,1QmWunl2nbV9o9lujiLIDn,59.0,267500.0
Being Me,0jiyDy8F9Jl4ryQovv48rL,35.0,134653.0
Townie,6TN7D8b2r2hWAFrk5D9oxX,58.0,205080.0
Quarterback,2OwIGCjx7e7J1HHdAqIv21,59.0,180386.0
She Wants Me (To Be Loved),1yS9wpv8GW2c8tHC7P85JJ,57.0,199413.0
