,ID,Popularity,Duration
Do You Wanna Get High?,6JwesoWbzk5pjBi3gaMWjb,31.0,207760.0
Thank God for Girls,0E2gTjYATqDoFj8lLLH4fe,31.0,210186.0
Perfect,0wLaEfGPXpXURXghzCwrjt,31.0,82898.0
Talking In Your Sleep,6FXQERPP5in7i1o3hk1vWi,33.0,236866.0
Weekend Woman,3dUnzfZ7QSyn9l2nG2NgCA,31.0,245746.0
Can't Stop Partying - Polow Version,4gsWvET11Mfb0ojrlgIfvu,28.0,262053.0
Your Love,4KYKp5ceBZeqq9CZUMcHlX,35.0,222960.0
Blue Like Jazz,4uufPlrTBcRHk3bR5jHKfB,33.0,192794.0
World's On Heroin,6RGDef9687S2stRSoMbpTv,34.0,119426.0
Endless Bummer,7MsP6bRg4d7rnuZqaN0HnE,31.0,254720.0
Blankest Year,7kLKRabmOzKsgc2vmt331x,27.0,132266.0
Emergency House Party,3VOx1cwDUHVBOK0Qaktvvp,30.0,111213.0
New Day Rising,0nSWm1Lj33t7Z9JOrkLHwj,33.0,154866.0
I Think We're Alone Now,2imlSz1OkvN8QyAkQ4WL2a,38.0,176040.0
Cream,5VJ3TBLhxLYGVGAYJYq45B,30.0,115805.0
Psychotic Episode,7sccWyVGdMHmxGWvZGi934,32.0,133506.0
Atomic,1PAKcvZUMSgEqRhmhZDeGk,43.0,282240.0
Local Girls - Digitally Remastered 1996,63lZR6NrvsosUAFwXSE63E,27.0,223666.0
I Want A Dog,2vmn9JhotAPHKP5XGhZ58z,31.0,168666.0
Summer Elaine and Drunk Dori,2dLrkKiddmHEYAQ7fUwfxw,31.0,205426.0
Bang the Drum All Day,7vGo6GXSO3A7YO7zZSHt0F,33.0,216573.0
California Kids,5CsQwb89zUbizwvDKoj0xo,31.0,205426.0
The Last Time,3rNtLFfpnCuQ3scQ07cKEs,32.0,84166.0
Futures,0xcaCnpCnhmFHH44MQhJ0Q,30.0,238426.0
Sing Me Spanish Techno,15wfDoEoLTjAdD8ycliy4v,31.0,256600.0
I've Been Waiting,7uWUTFclzEb1MhzJEOZt20,28.0,216986.0
Bird With A Broken Wing,3xSQkm3K4hHcxLabeYbGB3,32.0,231118.0
I Fell into a Bog,3E8GnuwV0tT4i4fsrQzVfG,33.0,89066.0
I Want You Back - Remaster 2005,7gMETwfAij1yUKdWjx7Pon,40.0,190653.0
Margaritas at the Mall,6EJ24umBSZ6sxmWm8AjHNe,32.0,234133.0
Too Bad About Your Girl,2kpwDdsXMXkYJmbyyjI1WN,31.0,169800.0
Fade Away And Radiate,7APz1pnCEsvfMhJpnXcfl8,32.0,243984.0
Across The Sea,31rGCrhGlPIj5MNLxSkls8,31.0,274520.0
Slow Death,44JvhqeLaMatXiA2VAtw25,37.0,263733.0
Go Places,2DtU4eF2GpEgmfNwhCQDAH,31.0,272666.0
Concrete Bed,70RAMABrNAqRel8nMHFRY2,27.0,149573.0
"O, My Soul",1ER5eW30eFxKo49gHOHgFi,29.0,338000.0
The Whip,5ougbVRCqpHM2JFUzO31ns,30.0,186186.0
Name Of The Game - Remastered 2010,2Z7c7algNrJeVyYWNH1HYw,37.0,321160.0
King of the Sea,6wlxdhtICglL0bKHgYjUcF,31.0,151586.0
Hello It's Me,20OPtTXspuUTRVTROMZHnF,32.0,215053.0
Sixteen Blue,6jvtd5tY3vwlHh4kOXRL8c,32.0,265440.0
Haunt You Every Day,33dpfp0qvIftcxpzDyA9sJ,32.0,277066.0
I Need Some Brain Damage,2sluXC1K53b66PRqlJLjTI,33.0,178026.0
C'mon,6vTkErP9Vs0cGK2eRh9Y8L,36.0,235813.0
Dinner's for Suckers,4SY0EXzqh7soUiDwpeT9qh,32.0,108520.0
Rosanna,46Em8Tk4iqp1qI9vT5dtf0,32.0,291525.0
My Spring Your Fall,61JLiusPv1z3VOn3MMPj50,34.0,250920.0
Midnight Sun - Remastered 2010,2GMZviWV8WEIHgdH7Y5vU2,38.0,167133.0
No Other One,3A5yU8aLFwqnMVWH1mQEzq,31.0,181933.0
Paid in Brains,0qKusFl8EidJtCmWWgTAv8,31.0,182000.0
"This Is War 5 - This Is Wardles (feat. Falconshield, LilyPichu, Jaynee, The Yordles, Rawb, Popushi & Nicki Taylor)",76jEXPH4WVrl1URk2ysI76,33.0,534073.0
Here Comes a Regular - 2008 Remaster,5Yc1rQKy4uv4QJFJTPHEiu,34.0,288133.0
HELLLLHOOOOLE,7DKyodwS3DcdkqmwlzDJZx,32.0,105994.0
"Healing, Pt. 1 - 2015 Remaster",6Go1ig0mE9P63U57wkyyRn,38.0,448986.0
Voices,3ao7thlAYIVPJw3e1u51PE,39.0,261066.0
Pills & Smoke,5obwLR73JZh0JFHRbhgg9s,34.0,154453.0
Cool For Cats,7zWE4XT8ATao3xxdHtKly4,36.0,190093.0
Gonna Raise Hell,7He4Taav43HuHhRl4nfd9j,33.0,560066.0
Divine Intervention,1Nq08q5FLReuiTLlWad9D1,28.0,337920.0
I'm a Pretender,60qFJiGvIKp6S8owIkCCeG,30.0,151813.0
Southern Girls,18IL1LfIsEHqmj17rnlw8K,32.0,223800.0
We Will Not Make It (Not Without You),7JllWelLM6xqTqCWFFRO4i,31.0,388068.0
Everything Flows,7un2yoOOyMF3teetbjw9GO,28.0,313293.0
Nightclub Jitters - 2008 Remaster,0NYs3fResVqrOVUEPd8Q4k,33.0,166333.0
Long Time,6Pt9gKCvcb970sLaTXhld1,38.0,275053.0
Snickers or Reese's,2gk18Mvex85Ap0kHBVaJ0g,31.0,181186.0
December,72xcjmj3heF2YU1HGAi8x0,30.0,183600.0
Crimson Wave,6ixncUHZXJpLWbej9oOms2,32.0,123328.0
Francesca,3CS9PpAn05oJAGTKo1RVKS,33.0,207837.0
Insect Nightmares,5gShhR2N7FnNVchoyvM3Vo,36.0,125306.0
Get Old Forever,4jCOQPjIYVMmT06kDWoJoj,31.0,199854.0
Two Motorbikes,5gl3oHCwZLmldOr464VWJH,31.0,152736.0
11:59,0yAi8iKRgy90VuNNZd3zhz,31.0,200864.0
1 More Hit,29s8uc1ZOR3yAWCA2O1mR4,33.0,185680.0
Cobra Skullifornia,4bF05KJHbr9sXJjgDiIQyq,34.0,185160.0
Unbreak My Heart,3X8feysVQ8Saawbv4uqqMC,30.0,251520.0
Jagged,4852QBP13qcS9Cm2ItLu2h,30.0,207184.0
Dizzy,5xn1j6DBs769Kn3BvGQWDA,33.0,285800.0
Anna,45EhQk9mjBt3Nz6bj57RJM,30.0,81533.0
Snow is Falling in Manhattan,5M9urPA8G6ogiqaEwGSqua,33.0,363640.0
Heart Songs,3vqCcVu9gq1UUey7Dks0kl,29.0,245880.0
War Of The Worlds,0ONMRH7REJ5zxlSUA9WQau,35.0,146026.0
"Run, Raven, Run",6f9USkiQECtHL0ZfoCQ5P2,33.0,314290.0
Earn Enough For Us - Remastered 2001,2JwsJrJhzW2zVoRkT22XXY,34.0,173963.0
How Can This Be Love,0I2h9T7HeYjP9yALFN8dJt,31.0,239933.0
L.A. Girlz,0U6QHjAcifZLGrVsFObjEK,32.0,209893.0
Wool in the Wash,0PNpf642AznR0ilBPOkXXk,30.0,236960.0
