,ID,Popularity,Duration
Stay,789CxjEOtO76BVD1A9yJQH,68.0,240706.0
Stacy's Mom,27L8sESb3KR79asDUBu8nW,70.0,197986.0
Sleep On The Floor,5MMZJtHOiH1RmQSSe3DJdg,67.0,211851.0
Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,73.0,154666.0
Fergalicious,1D066zixBwqFYqBhKgdPzp,66.0,292373.0
Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,65.0,202533.0
679 (feat. Remy Boyz),5NQbUaeTEOGdD6hHcre0dZ,70.0,196693.0
"Farewell, Neverland",43mnNatwMMydJ4CxMdQVnJ,75.0,180676.0
All My Love,7ByxizhA4GgEf7Sxomxhze,68.0,251510.0
Clarity,60wwxj6Dd9NJlirf84wr2c,72.0,271426.0
Gimme! Gimme! Gimme! (A Man After Midnight),3vkQ5DAB1qQMYO4Mr9zJN6,78.0,292613.0
Feel No Ways,3cjF2OFRmip8spwZYQRKxP,72.0,240653.0
Say My Name,7H6ev70Weq6DdpZyyTmUXk,73.0,271333.0
Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,73.0,204000.0
Sorry,09CtPGIpYB4BrO8qb1RGsF,78.0,200786.0
I Miss You,1oTo3ijRbaDAtrjJrGAPSw,67.0,227240.0
Northern Attitude,4O2rRsoSPb5aN7N3tG6Y3v,68.0,267256.0
Raise Your Glass,1gv4xPanImH17bKZ9rOveR,73.0,202960.0
I'll Be Waiting,3fqBhOtYA62A5D20j8OaQY,80.0,172547.0
Moth To A Flame (with The Weeknd),0VO8gYVDSwM1Qdd2GsMoYK,78.0,234000.0
Glitch,6wAFvJPpTZVirBKGZ4EnMW,72.0,148781.0
MAMIII,1ri9ZUkBJVFUdgwzCnfcYs,77.0,226088.0
Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,83.0,148197.0
Umbrella,49FYlytm3dAAraYgpoJZux,79.0,275986.0
Applause,5ka2ajep9OAvU5Sgduhiex,75.0,212333.0
Nothing Is Lost (You Give Me Strength),1DzJbVkBELu6jDu6q0T0tk,78.0,267504.0
Cinema,35TyJIMR3xRouUuo2sjS6v,74.0,243507.0
10 Things I Hate About You,6Jkm5kUldvIqxzI1Pa7nXH,73.0,157138.0
Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,76.0,300683.0
Giddy Up!,4NdJlsPyvXz15LySCNoL2W,71.0,162665.0
Out of My League,2AYEOC02WLhUiOoaig2SEH,69.0,209386.0
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,78.0,222160.0
Everything She Ain’t,3zAOcNGOFq5Q1OsN0tcxA0,69.0,151973.0
CASE 143,3O8G8eVrhfXTGttyQ1xVuq,76.0,191964.0
Don't Start Now,3PfIrDoz19wz7qK7tYeu62,78.0,183290.0
Who We Love (feat. Ed Sheeran),16axxBqfSvis8mjhrLHWeH,71.0,162390.0
i love you,46NNFblGhIPo7V4kZ3dzgo,1.0,291796.0
The Scientist,75JFxkI2RXiU7L9VXzMkle,81.0,309600.0
Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,70.0,181279.0
hostage,3jhXsk1jnswAQEMTUOr4SF,1.0,229425.0
i love you,0mvgxTG5wIgJ3IysgOueaM,1.0,291796.0
King Snipe,0UMqDSXk4xvoCNRrIEPf7T,73.0,214593.0
Lover Is a Day,1ucnuV88gFTfR3BalmznDk,71.0,456000.0
The Scientist,75JFxkI2RXiU7L9VXzMkle,81.0,309600.0
Francis Forever,5411TEB6tlzvuF5A4oyldr,73.0,149680.0
Dynamite,2CEgGE6aESpnmtfiZwYlbV,77.0,202613.0
