,ID,Popularity,Duration
BUTTERFLY,1q97NRLZfQlXYvZJAQ7tln,53.0,207226.0
Gold Dust,0Hj4YtlD0Q5O0srdZxJUtl,50.0,249613.0
Imperfect love,35jvwACXmrreYIEOAGc2Kr,59.0,204720.0
SSICK,238HdxvQkmYeSyo6qkPQoU,56.0,190146.0
Nap of a star,3Rn10yxcNeVzm5OXug2Kwf,54.0,243013.0
Everytime,1D6lK8qADoErTTLkY4YBfM,65.0,189355.0
N.O,7JosxtkCqIQieNWXA2Dj3v,58.0,209751.0
Embarrassed,3eSPLTR9JtKiT1X4sAkTg8,55.0,241761.0
MAMA,51hIGgLnT8s6gEzjVqKlEF,56.0,212275.0
Dimple,1rLkzFZdokhx6Wcs80uvnw,59.0,196776.0
Gentleman,26spalP6x2gUAab8rwB8dQ,56.0,194546.0
Dive with you (feat. eaJ),5RqwjQWDwxQ3HTkOfXTrS6,54.0,218240.0
View,46E1ic6n099e76t5J1TbHn,55.0,190821.0
Glitch,3Xzyta15TXF33ggEjA5FxN,54.0,224837.0
LUNA,5L2uuQUMiub01LRhTKRCFj,53.0,199893.0
Tangerine Love (Favorite),3yRdRil3CldYFNS3eYAf1X,59.0,178680.0
Hi High,0RqzUS7AkBhQDrBxcGFeDv,52.0,196863.0
Senorita,0q6boCcLaWYPIy2vOsksFg,57.0,197616.0
Life Goes On,1VjqXwHU3isibdXLEtXc4q,60.0,208088.0
LOSER,2vzn8usBcuNL93DnTjEK0z,58.0,219370.0
The Tortoise and the Hare,1Zv6xilw5El5P6frlNnYcH,55.0,224365.0
"PUSH & PULL (JIHYO, SANA, DAHYUN)",7kbOwsTp2Uqm1scjRPiVt4,54.0,205466.0
Lion Heart,405SQUJdQut02dxtuQ0CZ3,58.0,224257.0
Deny,7Kg8zkls7jEP5H89mCG1vz,54.0,173306.0
Naughty,0P8lbWigAHXPKxUG60xh79,56.0,198520.0
Dolphin,3NfgdU9mbIVhcJF3XvC0c9,56.0,176773.0
Snapping,4IOxk5ep5ONrdlL0ZIy64v,57.0,213164.0
永遠に光れ (Everlasting Shine),3zLCX1TGMpsA67cW2pq6ut,57.0,191146.0
ESPRESSO,61iEzLnJzBnMwumWtn0nFp,54.0,187800.0
Blood Sweat & Tears,1wiqEFd8phSCSlteDLSyp2,59.0,217051.0
Test Me,3MU7mQWCeNx7m75r1107Ds,56.0,199160.0
Butterfly,12TI802gjc7soYzEK2jx7L,52.0,200346.0
More,0WVOBPRjZ4AAYjZDAw36mE,51.0,220733.0
"How can I love the heartbreak, you're the one I love",0hqj5JBnFt1BHEz2UCFwrl,60.0,290095.0
Pull It Together,35eaAFEnGP3ONlRVcgTJs9,49.0,219173.0
Hello,3cGp1jXxLReLKz7QgVbWZR,58.0,218880.0
Swim and Sleep (Like a Shark),1UcgqK04vVmW8aXV2OxGiZ,55.0,165226.0
Rambo,5RqsqQU0erB0OgLbwem6pU,51.0,223480.0
Lovers In The Night,2dX2W20qzwqM6G910woDKo,55.0,210546.0
Me Gustas Tu,6x7fux7bZEfnChKx3nhSZn,59.0,220745.0
Drama,0YKzTMzgAXgQLpChiBRTlf,54.0,209563.0
NAN CHUN 난춘,320twJYO0LC64eWCuCC5vj,52.0,229493.0
Better Than Gold,0tIkUSA5njpsBaTAx3z25z,59.0,200746.0
Whalien 52,1otHp4s8IRCLn1JZcVrNhz,57.0,243222.0
Trouble,5L9eGmPwQnhIlJY1qDQ3OJ,56.0,215400.0
WE GO,7oQqeRSV38YqkRv2UGvmbS,54.0,175946.0
SAME SAME,5mr1d04qe0s5ux5fQQcH2p,56.0,181466.0
Let Me Know,2uqzfXB7NlBnhQd04W7HaH,56.0,254973.0
Singularity,2ApfJvLr7RbhJl6NOVhEu6,59.0,196998.0
30 Boppa,3JF5uKi0M1RPLnji4QAQMO,50.0,152727.0
Through the Night,3P3UA61WRQqwCXaoFOTENd,59.0,253293.0
RED,1IguWzAOIxnmTZ7mqmKUwM,58.0,176466.0
Let's Do It Again,2hU6oM0KUN1gzBf8PY0MOD,52.0,192893.0
Don't Call Me,462OPOKW0VMbvW9H7HIb0U,56.0,220173.0
ZOMBIES,2Q1EVavjMH8XrRvHbVRTpc,53.0,184600.0
Why So Lonely,3mKK73NhylzXdHV4qZGxI4,55.0,206706.0
Scream,3vPHCKu5UhbGLe9rs8dBGr,57.0,204293.0
It's You,3hm4axDodp2jFEDohQfXxV,61.0,231642.0
Uh-Oh,1OBb2wZMXKNmtdyyejLIyL,57.0,207600.0
Black Swan,6wH3AP7b01vpzKYRJhreMy,59.0,198260.0
Our dawn is hotter than day,4YY4hc7Lr7y5QsTdmkm31r,58.0,212310.0
Like That,5hFlI0omJJ0OYXCIMLozvn,57.0,93289.0
New World,0rvQzaVeceFaksUoeyonXw,54.0,216785.0
Catallena,5fWKr5p15BTazjflJ6HX5j,54.0,193153.0
Winter Falls,0BeqHPNJSLzfH8TZ7Adpb3,57.0,235386.0
Good to Me,2ujZatFh8uZMkiBTu2z7AH,55.0,189714.0
Love Is Not Over - Full Length Edition,12MGUs7yIus6sU09ekZMjw,56.0,221619.0
Some (feat. Lil Boi),0g1AmSKokPboFrxmG1dxKx,59.0,211374.0
Into the New World,1RTW9UthqmZwr8Od6CH4i8,59.0,265760.0
Goddess Level,0bFZXAWYbhEpcQKNvEJ7Ut,58.0,191693.0
Butterfly,6wNKKoUQfLPmch7cqSFytV,55.0,237707.0
District 9,430IfeGHWJxnZOkhBYACt9,56.0,213586.0
Outro: Her,559U79ujLJSP6OUyH2nGLl,57.0,228612.0
I'LL SHOW YOU,6LDIVpVNBRy7LCw7jIdci6,58.0,198611.0
AYA,4BZXVFYCb76Q0Klojq4piV,60.0,211280.0
FIRE,7IkuRNVAjwXpZ2DheQHL4L,58.0,207013.0
TWIT,6qyz1KOlGJsKYJ4ZsRmRSD,58.0,190785.0
Celebrate,5ZwlnR8yGofZ0669mEh8Xm,63.0,188433.0
Turbulence,2wj2Mh7Zmp036eH1aY6nAW,57.0,199586.0
